center_cls,neighbour_cls,attention,distance
extrarenal,background,0.01177656278014183,3
extrarenal,background,0.009155035950243473,4
extrarenal,background,0.007511465344578028,5
extrarenal,background,0.006606436800211668,6
extrarenal,background,0.006692313123494387,7
extrarenal,background,0.007153640501201153,8
extrarenal,cyst,1.7080188627005555e-05,1
extrarenal,cyst,7.168078445829451e-05,2
extrarenal,cyst,9.153232531389222e-05,3
extrarenal,cyst,0.00010993718024110422,4
extrarenal,cyst,0.00012174725998193026,5
extrarenal,cyst,0.00012528206571005285,6
extrarenal,cyst,0.00015983590856194496,7
extrarenal,cyst,0.0001730021758703515,8
extrarenal,tumor_bleeding,0.00012955249985679984,1
extrarenal,tumor_bleeding,0.0002725547819864005,2
extrarenal,tumor_bleeding,0.00029874269966967404,3
extrarenal,tumor_bleeding,0.00044971637544222176,4
extrarenal,tumor_bleeding,0.0005601735902018845,5
extrarenal,tumor_bleeding,0.0006652040756307542,6
extrarenal,tumor_bleeding,0.0008458789088763297,7
extrarenal,tumor_bleeding,0.0010292649967595935,8
extrarenal,tumor_necrosis,0.00011685801291605458,1
extrarenal,tumor_necrosis,0.00035364573705010116,2
extrarenal,tumor_necrosis,0.0003616351168602705,3
extrarenal,tumor_necrosis,0.0005730509874410927,4
extrarenal,tumor_necrosis,0.000682085461448878,5
extrarenal,tumor_necrosis,0.0008033313206396997,6
extrarenal,tumor_necrosis,0.0010167282307520509,7
extrarenal,tumor_necrosis,0.0012856911635026336,8
extrarenal,tumor_vital,0.008325289934873581,1
extrarenal,tumor_vital,0.011345741339027882,2
extrarenal,tumor_vital,0.00999078992754221,3
extrarenal,tumor_vital,0.011637093499302864,4
extrarenal,tumor_vital,0.011916708201169968,5
extrarenal,tumor_vital,0.012484831735491753,6
extrarenal,tumor_vital,0.01595180109143257,7
extrarenal,tumor_vital,0.01862579770386219,8
extrarenal,extrarenal,0.20502208173274994,1
extrarenal,extrarenal,0.14299142360687256,2
extrarenal,extrarenal,0.080106720328331,3
extrarenal,extrarenal,0.06044479086995125,4
extrarenal,extrarenal,0.046071607619524,5
extrarenal,extrarenal,0.03806294873356819,6
extrarenal,extrarenal,0.03768543899059296,7
extrarenal,extrarenal,0.03604797273874283,8
extrarenal,cortex,0.00972639862447977,1
extrarenal,cortex,0.011045476421713829,2
extrarenal,cortex,0.00760648725554347,3
extrarenal,cortex,0.007659389637410641,4
extrarenal,cortex,0.0070053101517260075,5
extrarenal,cortex,0.006458446849137545,6
extrarenal,cortex,0.008093234151601791,7
